,Country,continent,Country ID,iso_num,Created Beer
0,Argentina,Americas,ARG,32,4
1,Australia,Oceania,AUS,36,15
2,Austria,Europe,AUT,40,10
3,Belgium,Europe,BEL,56,91
4,Brazil,Americas,BRA,76,2
5,Canada,Americas,CAN,124,57
6,Czech Republic,Europe,CZE,203,5
7,Denmark,Europe,DNK,208,5
8,El Salvador,Americas,SLV,222,1
9,Finland,Europe,FIN,246,1
10,France,Europe,FRA,250,1
11,Germany,Europe,DEU,276,86
12,Hungary,Europe,HUN,348,4
13,India,Asia,IND,356,11
14,Ireland,Europe,IRL,372,14
15,Italy,Europe,ITA,380,2
16,Jamaica,Americas,JAM,388,2
17,Japan,Asia,JPN,392,6
18,Mexico,Americas,MEX,484,6
19,Myanmar,Asia,MMR,104,1
20,Netherlands,Europe,NLD,528,14
21,New Zealand,Oceania,NZL,554,7
22,Norway,Europe,NOR,578,18
23,Panama,Americas,PAN,591,1
24,Poland,Europe,POL,616,6
25,Portugal,Europe,PRT,620,1
26,Spain,Europe,ESP,724,5
27,Sri Lanka,Asia,LKA,144,1
28,Sweden,Europe,SWE,752,3
29,Switzerland,Europe,CHE,756,4
30,Thailand,Asia,THA,764,1
31,United Kingdom,Europe,GBR,826,104
32,United States,Americas,USA,840,431
